question,A,B,C,D,correct
Mercedes wants to open market in Cambodia. Volkswagen,wants to have dinner with them.,laughs at them.,is trying to stop this action.,likes to travel there.,C
"Samwise lives in Middle Earth, He is always talking about his friend. His friend is a hobbit and Frodo is the only hobbit in middle earth.",Is Samwise talking to middle earth,Is Samwise a hobbit,Is Samwise talking to himself,Is Samwise talking to Frodo,D
"The glass of water is half filled, so",the glass is half empty.,the glass is empty.,the water is not there.,the glass is broken.,A
"A romantic, candlelit dinner would be incomplete without",having a mental breakdown in the middle of Mudd Library,violins playing in the background.,refusing to leave the backseat of an UBER.,the association of blind students at MSU.,B
Timmy wanted to tell his parents in London that he was safe in America. Timmy,made a phone call to talk to them.,kayaked across the Atlantic ocean to talk to them.,took a plane back to talk to them.,put his message into a bottle and threw it into the ocean.,A
The couple decided to go backpacking. They,bought a sports car.,bought some school supplies.,bought a rocket ship.,bought a small tent.,D
The police said his car had been weaving all over the road. They,pulled him over and gave him a sobriety test.,hit his car.,called an ambulance and set a fire alarm.,thought the driver is cooking.,A
A person lies in bed. The person,is ready to sleep,thinks about his life,is dead,eats an ice cream,A
Joseph is having a hard time in class. He,is very smart.,is not a human.,probably didn't study very hard.,is a robot.,C
The yoga instructor wanted to increase attendance for their classes. The yoga instructor,offered free sessions to peak peoples interests.,stopped teaching yoga.,threw yoga balls at anyone who challenged her creative spirit.,balanced work life with her personal life.,A
I have an irrational fear of dogs because of,the tiger that killed my father,one bit me when I was younger.,it seems like they have secrets,they don't portray them accurately in film.,B
Rose is walking around her house looking for her pet cat. Rose,has no pets.,has a collar around her neck in case she gets lost.,is worried.,likes to play with yarn.,C
A girl is tired of trying on dresses for prom. She,graduated high school last year and went to prom with her best friend.,doesn't want to eat anymore carrots.,falls asleep.,doesn't like shopping.,D
"Joseph, Henry, and Jack all have different hair colors. Henry has red hair, Jack has brown hair, and Joseph",has brown hair.,has red hair.,has hair.,has black hair.,D
JD plays Tetris. JD,loses his phone,flips his dog with a forklift,wins over the love of his life,beats the game,D
The girls were unable to attend the school dance. The girls,organized the school dance.,were busy.,had a lot of free time.,finished their homework.,B
The captain of the ship took inventory of supplies before setting off. The crewmen,enjoyed several shots of vodka in preparation for the highly skilled work they would soon have to perform.,helped the captain make sure there was enough food.,were busy preparing the wings of the ship.,went home for a quick swim.,B
Sophia is in line at a baseball game. Sophia,is going to say hi to Abe Lincoln when she gets inside the game.,is going to greet people as they walk into her house.,has her ticket ready.,is painting the line.,C
The sailor pulls the main sail. The sailor,catches a fish.,pushes the windmill.,gets off the cruise.,ties it tight.,D
Soccer is a very fun sport. It consists of,kicking a ball among team players so to score goals without committing faults.,team players cheering for the crowds from the soccer field so crowds can score goals.,catching a ball with the hands and running with team players across a field scoring goals.,running naked across a field while kicking the referee towards the goal.,A
Joseph bails on his friends playing squash. He,says sorry and punches them.,says sorry and plays squash the next day with his friends.,says thank you.,"says sorry on his knees, crying the next day.",B
The student studies for hours at the library. The library,opens up a hot dog stand and has a party.,has to close because the student has been studying too much.,has to close and the student must leave.,offers a quiet environment which is conducive to productivity.,D
I have a hard time making friends. I think it is because I,lack social skills.,care about the environment.,have a hard time finding dogs who share my personality.,live in Chicago.,A
The man falls asleep at the wheel. The man,swerves into a ditch.,drives home with his eyes closed.,watches a chase scene.,turns on his windshield wipers.,A
"Sarah is pretty ugly, so she decided to",put on more makeup.,picked her nose.,paint her water bottle a shade of pink.,wash off her makeup.,A
The child went out for his first halloween. He,got candy,bought some spiderwebs,went to class,got coffee,A
The boy and girl are playing Monopoly together. The boy,"walks along the edge of the river, and accidentally falls in.",rolls doubles three times in a row and has to go to jail.,watches TV until he falls asleep.,merges onto the freeway.,B
I got a papercut. I,bled on my friend.,threw away the paper.,blamed my friend.,gasped.,D
Following a high-protein diet over a long period of time can cause considerable health problems. It,is therefore recommended that while dieting one should allow himself to eat once a week whatever he desires.,has been proved that this makes the dieter happy.,also helps the person to continue his diet.,must be addressed by a doctor,A
"The boy arrives in London, not Paris. He",arrives in Paris with his girlfriend.,wants to see the Big Ben.,arrives in Paris last night.,arrives in Paris to see the Eiffel Tower.,B
The wife refused to make the husband dinner today. He,was upset,dined his wife,made the wife dinner,made her up,A
Joseph is an architect and his sister is a nurse. She,has designed many famous buildings.,does not have any siblings.,spends most of her day at the hospital.,draws very detailed blueprints.,C
I really enjoy Christmas Day because Santa will give me a gift. Santa,is too old.,is an old and lovely man.,will receive a gift too.,is annoying.,B
An athlete flies through the air. He,is reading a newspaper.,flaps his wings to gain altitude.,jumps over the bar and sets a record for the high jump.,flies to a tree and lands there.,C
"Books are good, but videos aren't. They are better because they have",more fish.,more video.,better stories.,more actors.,C
A man is walking on the street. He,is making a noise.,starts sprinting toward a car.,is holding a gun.,is trying to spot his Uber.,D
Harry Potter uttered the words of an invisibility spell and waved his wand at Hermione. She,drew her wand and pointed it at him.,shrunk down to the size of a rat.,turned translucent and disappeared.,said that she couldn't talk now.,C
"I had played cricket until I failed last year. Now, I",don't play cricket anymore.,play cricket over the weekends,play cricket everyday.,play cricket alternate days.,A
A woman wears a strap-on for the first time ever. She,is trying something new.,entertains the masses.,feels.,feels claustrophobic.,A
A lady is jumping off the cliff. She,is jumping jumping.,is dead.,lands on the moon.,flies with her wing glider.,D
A trains runs through. The train,enters the tunnel.,hits a pedestrian.,looks very long.,runs slower than a human.,C
Peter’s vehicle broke down on the highway. He,called the hospital for help.,called his father for help.,sold his vehicle on the highway.,repaired the vehicle using his hair.,B
The woman admired the stars through the glass ceiling. She was thankful that,it wasn't cloudy.,her car was still running.,the HR department changed their policies.,she had a good dog.,A
I need to stay awake in class today. I,should sleep in class more often.,think my teacher will fall sleep.,need some coffee.,want to sleep on my professor's head.,C
A boy is at the zoo. He,goes to the unicorn exhibit.,gets lost and an employee helps him find his mom.,plays tag with the monkeys.,feeds the tigers from his hand.,B
Alice was walking home from school one day after failing a test. Alice,played with the children in the park,lost her phone and was searching for it.,was afraid to go home in case her parents beat her.,decided to camp outside in the street.,C
"Quincia is helping me with my machine learning homework. To thank her, I",tell her I have cancer.,offer to assist her in some other endeavor.,"throw all the papers up in the air and scream ""this is hopeless!""",never speak to her again.,B
Tina was sick and went to hospital. Tina,argued with doctors.,did a blood test.,cleaned the floor.,fought with nurses.,B
The students attend a lecture in the large room. They,were typing out everything.,taught about learning.,made the teacher sit down and taught the teacher.,pulled the weeds of their garden.,A
A mouse runs across the bathroom floor in search for cheese. The mouse then,"arrives at the cheese, curls up in a ball, and snacks on its new conquest.",eats the cheese and licks its thumbs.,eats its tail as it reaches the cheese in glee.,is rewarded when it is eaten by the cheese.,A
"I forgot to turn off the tap when leaving the house, but I'm already in school now, and I have to",turn on the tap.,forget it.,call my roommates for help.,turn off the tap by myself.,C
Paul cuts a piece of cake in half.  He,is happy that he destroyed the piece of cake.,gives a piece to each of his two kids.,realizes the piece of cake is now useless.,then merges the two halves into a whole piece indistinguishable from the one he started with.,B
"A man added dog treats, dog food, and cat litter to his grocery list. He",took his dog for a walk,gave a dog treat to his dog,wags his tail,then drove to the store near his house,D
"The boy watches his favorite Disney show, Ratatouille. The boy",eats a potato.,wants to visit Disneyland next winter break.,is banned from watching movies.,angrily shouts that Disney is a terrible company.,B
Cycling is better than jogging. It is better because it is,very dangerous.,done underwater.,safer for your knees.,done on a treadmill.,C
A squirrel ran on the pavement and climbed the trunk of the oak tree. It,was afraid of the snake,was eager to get away from humans,wanted to pluck the red flowers growing on the tree,curled up by the nest of the crow,A
She was feeling a little under the weather. She,was getting rained on,under the sun,flying below the clouds,felt sick,D
Woman is practicing somersaults on a roofed gym and women behind her are watching her. in the background people,are swinging in her double squatting.,are in a pool standing in front of a living room.,are interviewed as the band film her.,are practicing gymnastics and moving the mats.,D
"Claire loves Chinese food, but she's a vegetarian, so she ate",sesame noodles.,a burrito.,schezwan chicken.,pork dumplings.,A
The bear caught a fish from the stream. The bear,lit a fire to cook the fish.,took the fish back to its cubs.,left the fish on the bank of the stream.,threw the fish back into the stream.,B
A girl begins a new medication. She,feels claustrophobic.,is going to graduate in the next spring.,wants to feel better.,wants to go to school to become a doctor.,C
"A woman is in a kitchen, stirring food in a pot. She","mops a small bowl, then pours the pasta in a pot.","adds her gathered ingredients one a time as she talks, showing the pasta she is using.","put the pasta into a pot with sugar, then pours added eggs.",put the chocolate mix in a pot and stuff.,B
The large dog snarled. The man,started juggling.,backed away slowly.,made tea.,went over to pet it.,B
A woman is walking down the street with her arms around her body while her hair is blowing in the wind. She,starts to fly with the wind.,starts to blow the wind.,unwraps her hands.,blows the wind blowing away.,C
A plane starts in Germany for a ten hour flight. The plane,drives on the highway.,is build in a kindergarten.,has no engines.,will fly to Chicago.,D
The steak was too large for Jimmy to take a bite off. He,broke it apart with a sledge hammer.,cut it into pieces with an iron nail.,went to the kitchen to get a knife.,got a second large steak.,C
The man wondered if his boss would accept his proposal. He,took his family out for a movie,took his dog for a walk,worked hard to make a favorable impression in front of him,ate dinner at a fancy restaurant,C
Su Min's coat was wet. It,snows a lot in December and it rains a lot in August.,is a red rain coat.,had a hoodie.,was raining outside.,D
The puppy runs across the field. It,curls near a fire.,hits a home run.,leaps for joy.,swings at a ball.,C
People of colour have started to voice their opinions in a fearless manner. They,feel empowered by discriminatory behaviour,need support and encouragement like anybody else,can do without freedom of speech,have a history of suppressive behaviour towards other groups,B
"Everyday at the dining hall, I eat the pizza instead of the salad. On Saturdays, I",have salad just like every other day.,treat myself to a cookie as well.,eat salad instead of pizza.,prefer salad to pizza.,B
A dog runs across a field as a frisbee flies through the air. The dog,scores a touchdown.,teaches a class.,catches the frisbee.,makes money.,C
The police stopped the man for drinking while driving and booked him into jail. He should,goes outside to pick flowers.,call his lawyer.,eat his dinner and go home.,break out of the jail and go home.,B
"The people are having dinner, so",they are playing golf.,the people are dancing.,they are eating food.,the dinner is not ready,C
"Robert was robbed by Kevin, and he is arrested by the police. Kevin",will murder Robert,is going to prison,does not like apples,is loved by the police,B
Tom enjoys playing basketball with his friends. He,has a bad time playing basketball with his friends.,joins the university team.,jumps from the ground floor to the fourth floor.,breaks a stone into pieces with a basketball.,B
The woman decided to start investing for her retirement. She,bought a company.,opened an IRA.,saved coupons.,called the social security office.,B
Among deep purple and azure wildflowers lay a sprinkling of,snow,TV,purple and azure elephants,computer,A
Mandy plays soccer. Mandy,is the goal keeper,kicks the sun,kicks diego out of the bar,is a dog,A
A man is speaking to a group of executives in a boardroom.  He,makes balloon animals and gives them to each executive.,gestures to a slide showing the change in sales over time.,types rapidly on his laptop without saying a word.,climbs into the treehouse.,B
"I did really bad for my Intro to Probability exam, so I",might fail the class,should apply for a Statistical Analysis job,don't believe in probability of anything,have a good chance getting A,A
Bill loves his Mac and so does Andrew. But Andrew,is looking for revenge,took it apart,also has a PC,loves Bill,C
An officer pulls over a speeding car. The officer,asks the driver for racing tips.,gets into the car with the driver.,drives away in the car.,tells the driver to stay in the car.,D
Joseph wants to be good at playing soccer. He,needs to study how soccer balls are made.,goes to a soccer turf to take a nap.,needs to play a lot.,needs a lot of money.,C
I have an Android but wanted an Apple. I,told my android to destroy the apple and then eat it.,think the camera quality is most important.,visited the grocery store.,bought a robot.,B
The proctor passes the exams to each row of students. The proctor,eats a left turn.,passes an exam to his dogs.,smells a teacher.,starts the time.,D
Kelly told me that everything will work out in the end. She,goes to gym very often.,is a workaholic.,is very sweet.,is tired.,C
"Thomas's friend is blind, so to have fun they will",listen to music.,watch the sunset.,go for a bike ride.,go to the movies.,A
"Chicago is getting really cold, so I",act as a cool guy,move to Miami,move to North pole,buy a new car,B
The owl stares at the mouse. The mouse,winks at the owl.,eats the owl.,runs away.,says hello.,C
Tom was crossing the street. He,was in danger.,was sent to the hospital after hit by the plane.,is the street.,was caught because he saw the green light.,A
"The race car was very fast, but it was not faster than a",jet.,large turtle.,a fast cheetah.,man running.,A
Dan goes to the gym. Dan,Lifts a building,runs out of macaroni,Lifts 80 giraffes,works his pecs,D
The eggnog in the container was very sweet. It,was nice and cold.,was not eggnog.,was taken over by chickens.,was not in the container.,A
My cat recently had a litter of kittens. Each of the kittens,was a puppy.,danced the salsa while eating salsa.,was a different color.,read a tome.,C
The plate of microbes sat in the incubator. The plate of microbes,was found to be harboring foreign agents.,experimented with sending computer viruses to unsuspecting victims.,used a knife and fork to eat scrambled eggs that were made with eggs from the chickens at the local farm.,"understood chemistry well, acing its exam later that week.",A
A new phone is being released today. People,are being prescribed the phone by their doctors.,are buying new headphones.,are lined up on the sidewalk in tents.,have written hymns and songs of praise to the new phone.,C
"After studying all night, a group of students were preparing to",take a test,join a cult,sprint,fly out the window,A
I placed my glass of milk on the coaster. I,"spilt the milk onto the stove, disappointing cows everywhere.",attempted to dip a cookie into the drink but accidentally dropped it.,hummed a tune to the glass of milk to soothe it.,ate a grape out of the milk and it tasted like meat.,B
A group of friends are playing Monopoly. John,opens an electronics store.,passes Go and collects two hundred dollars.,throws a touchdown pass.,gets a full-house.,B
A patient is being air-lifted via helicopter to a nearby hospital. The doctor,assures him that he will be alright.,puts on a Halloween costume.,lands the helicopter.,waters his plants.,A
"I love all animals, that is why",I hate dogs.,I do not love dogs.,I hate cats.,I like dogs.,D
A bird sings in the woods. He,is scared of the new housecat.,is looking for a mate.,doesn't like being trapped in a cage.,is migrating north for the winter.,B
The student was looking for a new way to help them fall asleep. The student,decided counting sheep was the way to go.,failed their most recent midterm.,was raised by a mathematician and a priest.,graduated their classes with high honors.,A
The family has a picnic. They,catch a squirrel for lunch.,eat sandwiches.,cut down an apple tree.,ask the waitress for two salads.,B
The teacher went to the beach instead of going to school. The teacher,gave the kids on the beach detention.,taught fish how to swim.,"felt bad, but really needed a break.",proposed the world was flat.,C
The adventuring party decided to take a break before heading to the next floor. The wizard,tried to cook the dwarf at a slow simmer.,needed to replenish his spell slots.,turned into a frog.,tried to teach a worm to play dead.,B
"I am hungry, so I should",eat food.,not eat food.,sing a song.,play football.,A
"Three children walk home after school. As they approach their neighborhood, one of them",decides to study for a history exam.,learns to play piano.,tells a joke and they all laugh.,evaporates because of final exam pressure.,C
"I started up the steps to the front door of 326 East Sixty-ninth Street, then realized I couldn't make it with both bags and my violin. Leaving one bag on the sidewalk, I",brought more bags and started playing the violin,nothing,dragged the other up the steps with me,nothing,C
"The presentation was as long as the Great Wall of China. Because of this he had to,",do other tourist things in China,walk the length of the Great Wall of China.,run to his next meeting.,eat a lot of Chinese food.,C
A bunch of students are studying for their exam. They,go skiing over break.,go to the library.,watch a movie at the theater.,eat lunch.,B
"Sheldon went to a cinema, and in the cinema, he",took photos,listened many songs,watched Harry Potter,played baseball,C
A gamer cracks his knuckles and looks up. The gamer,reaches for his controller.,slaps his pen.,reaches for his pillow.,turns the key in the ignition.,A
My girlfriend went to the Taste of Chicago to eat cheap food. My girlfriend,had to go to the emergency room after experiencing an allergic reaction.,thought the city's fiscal policies were abhorrent.,"used tacos, burritos, burgers, and Chinese food as props in her court room defense.","really loves monster trucks, but I don't.",A
A group of EECS students are given a coding assignment. They,immediately start talking about dropping.,open their laptops and start coding for some other project.,take out some papers and start writing encrypted messages.,"each have a look at it, then start their own planning on how to approach the problem.",D
The girl could barely hear the music at the festival. The girl,has a good sense of hearing.,is at the front of the crowd.,is in the soundproof bathroom.,is on stage with the band.,C
Roger Federer walks into the tennis court for the one last time. He,will be the ball boy in the match.,will collect the tennis balls.,is crying as it is his last match.,is not emotional as it is his last match.,C
Doug is talking to his student as he failed the test. Doug,hates to chat with his students.,is not concerned about his student's grades.,is talking about different ways to secure extra credit.,is talking about his work on the test.,C
The dog in the park barked at the intruder. The dog,chased a squirrel.,dug a hole in the park.,ran up to him.,chased his tail.,C
You don't know what to write for your essay. You should,write a different essay instead,pay someone to write it,write an essay about a topic you do know about,brainstorm ideas,D
"Orlando is too hot for me, so I",go to Disney Land,go to Key West cause it's hot,put on more layers,move to New York,D
A person is sitting and getting his arm tattooed. He,starts crying out of pain,stand up and start dancing.,ski on the rapidly ropes in a front of dirt bikes.,"play the racquet, while people try to jump near the center.",A
Kelly told Kevin they'll talk about it down the line. They,love their dog so much.,are lining up at a restaurant.,are in a queue.,will talk about it in the future.,D
A clown entertains children at a birthday party. He,paints the entire house in red and white stripes,blows balloon animals for the children,burns the children's toys and birthday cake,kidnaps the children,B
A man walks into Target with a basket in his grip. The man,buys laundry detergent that is on sale.,gets a free giraffe from the salesperson.,eats the basket.,uses the basket as target practice.,A
A rabbit hops around the park. The rabbit,attacks the dinosaur.,waves to the dog.,starts to fly.,hops to the other rabbit.,D
We learned about the Squeeze Theorem in class today. It,showed me how to do the wave.,is extremely useful in literature analysis.,taught me how to squeeze an orange.,has applications in function limits.,D
A man was fired from his job. He,gathered his things.,tried to get his job back by yelling at his boss.,fired his boss back.,blamed his girlfriend.,A
A woman is standing outdoors in a pink martial arts outfit. She,retreats onto the dance with a baton.,cuts up to her camera.,"moves slowly, showing various martial arts moves.",is standing with her hands up while trying to take her legs from getting into the bathtub.,C
A cat rests on the shelf. It,"purrs softly, tells its owner to buy more Meow Mix, and floats off the shelf.",wags its tail and begins to eat the shelf.,"is composed of living, breathing catnip that is sitting on the shelf.",stretches as it wakes from its nap.,D
The kid got a bb gun for christmas and shot his mom's expensive vase. His mom,brought him cake,rewarded the kid,got mad at him,ate the bb,C
The woman screened her calls to,avoid talking to telemarketers.,invest in a high-performing stock.,prevent bugs from getting in.,dodge the president.,A
Wilson is lonely and he want to find a girlfriend. Wilson,drinks Pepsi,play Monster Hunter every day,is single,has a girlfriend,C
Adidas is offering promotions today only. The customers,are driving to Los Angeles.,are talking to each other.,are planning dinner together.,are searching through their store.,D
I have to go to the dining hall. I,am full.,like buying dining dollars.,haven't eaten because I had to finish my test.,prepared dinner for you.,C
We get to the store by car. My mom,buys us lots of houses in the store so we can watch them later.,drove.,waits in the bus.,calls me on my banana phone while I'm in the store.,B
Joseph likes money. He,starts working out.,becomes a robot.,starts eatings money.,goes on Amazon Turk to finish tasks.,D
Two people are at a court. They,cook dinner.,appear in front of the judge.,flee the scene.,play a game of tennis.,B
The rabbit is running from the lion. The lion,is hunting.,is trying to become friends with the rabbit.,is sleeping in a cave.,is being domesticated.,A
Today is Monday. Tomorrow is,Monday,Wednesday,Thursday,Tuesday,D
A duck paddles down the river on a summer day. He,chases a squirrel across the field.,reads the newspaper,relaxes in the canoe.,eats some reeds.,D
A bird flies through the sky. The bird,looks at people underneath.,drinks some rain.,inhales some air.,is enjoy the beautiful music.,A
A man loses consciousness as the doctor knocks him out to prepare for surgery. The man then,thanks the doctor for knocking him unconscious.,calls his mom to tell her that he will not be waking up.,calls his mom to tell her that he is knocked out.,"wakes up, no longer having his wisdom teeth.",D
Superman gets shot by an evil villain. Superman,dies.,lies down and cries.,remains unaffected by the bullet.,gets wounded by the bullet.,C
"The lawyer asked the witness a question, but he was reluctant to",laugh.,ask for help,comment,leave,C
"I will graduate in this month, so I",need the money for tuition,could attend a new course,am eager to learn,am searching a new job,D
A hoarder through therapy realized that they needed to change their lifestyle. The hoarder,continued hoarding because it was what was most natural to them.,fixed themselves a good drink from their collection of 80's discontinued sodas.,got rid of anything they did not need in their home.,decided to set their house on fire for a fresh start.,C
They started the smoker and went inside to,make a call to the president.,get the pork chops.,tell their children about mortality.,get a pack of cigarettes.,B
John is a good student but Jack is not a good student. John,aces all his exams.,never goes to class.,studies with fervor.,studies hard.,A
The boy could barely hear the fireworks. The fireworks were,quiet,loud,big,annoying,A
A paper was reviewed thoroughly and the reviewers had positive consent. The paper,was withdrawn.,was rejected.,was retracted.,was accepted.,D
A cat enters a football field. It,is chased out.,records the yardage.,throws a football across the field.,scores a touchdown.,A
The racket doesn’t fit into the brown suitcase because,it's so heavy.,it's not well balanced,it's big.,it's a white color racket.,C
"A woman sits at home, wondering if her gender is the same as what was assigned to her. She",puts on pants.,reaches out to her doctor to task about potential surgery.,puts on a dress.,leaves the house.,B
there are many famous basketball players such as kobe and,tony,kobe,james,eason,C
Doug likes nachos.  He,keeps his coin collection inside.,uses them as a missile defense system.,pours milk all over them for crispiness.,enjoys the chips and melted cheese.,D
A dog runs across a field as a frisbee flies through the air. The dog,walks away to the river.,looks on.,starts to write a novel.,curls up near the fireplace.,B
Harry drank an excessive amount of alcohol and started losing consciousness. He,drank even more alcohol.,said drinking is bad for health.,had no memories of the next few hours.,started partying.,C
"Most people hate coffee, they like soda. They don't like it because it",is made from fish.,is sweet and carbonated.,is made from cheese.,is an acquired taste.,D
The tennis player goes onto the court. She,throws a touchdown pass.,jumps over the net like a frog.,dribbles and shoots the basketball.,practices her serve.,D
My family were on a flight home. They,reached the airport by cycle,got really good seats,had gone by ship,reached the airport and went back,B
Jasmine was born in the USA but grew up in China. She was most recently from,Xiamen,Saarbrucken,Philadelphia,Edinburgh,A
A girl is reading a book on unicorns on her porch. The girl,flies through the door.,sees a unicorn in her backyard.,is approached by a fairy.,decides she likes dragons better.,D
A dog is sitting on the ground next to the words Dog Training. A dog,runs out and comes onto several stairs.,is walking in a large dog.,"is seen lying on the living room floor, running in his sleep.",hops up and grabs her dog off while a woman right behind her.,C
"The spider sat in the web, waiting for its next victim. The spider",flew away in the tumultuous wind.,was colored grey and was an effective investigator.,"sat, patiently, until it trapped a deer.",isn't sure about what the future of artificial intelligence holds.,A
Apple launched a new product. You,can buy the latest iPhone in late September.,broke your phone.,can get an iPhone for free.,will eat an apple later.,A
A police officer pulls over a young man. The police officer,asks the driver for his license and registration.,washes his hands vigorously.,"pays the cashier, who tells him it'll be $3.99.",starts running in the opposite direction.,A
"Ketchup dates back as far as 1600 AD, when sailors traveling to China discovered a sauce called ketsiap. It",quickly changed ingredients to include mashed cotton and sweet pepper.,was made out of soy or oysters and didn't contain tomatoes.,began the transformation to today's sweet potato in the late 1700s.,was easy to make ketchup boats during that time.,B
John found a purse full of cash at the bus stop. He,cried.,adopted a dog.,waited for the owners.,bought this bus stop.,C
John is having a normal day. He feels,happy.,scared.,normal.,down.,C
The professors are eating lunch in the lounge. They,trade their lunches for poison.,each want to share their lunch with their mothers.,wash their lunch with a napkin.,discuss current events.,D
Jasmine was born in the USA but lived in Germany as an adult after having grown up in China. She spent her childhood in,Philadelphia,Saarbrucken,Edinburgh,Xiamen,D
The man at the circus spins round and round. He,fires his staff.,kills the audience.,then becomes a square.,then jumps on to the rope.,D
John goes for a run outside because he wants to lose weight. He,should get a girlfriend instead,should run inside since its the same thing,will lose weight if he keeps exercising like this consistently,should lose weight by eating healthy and not exercise at all ever,C
As Chris sat down in the classroom he did not feel ready for the test. The night before Chris had,stayed in to prepare for the test.,gotten himself ready for the test the next day.,studied a lot.,gone to a party.,D
The couple decided to go hiking. They,packed some sandwiches.,packed a crock pot.,packed some seeds.,put on some slippers.,A
Tom went back home after having dinner with his colleagues. He,watched dinosaurs with his colleagues and their families.,took a shower.,jumped from the ground floor to the third floor in one second.,watched the sunrise with his wife.,B
"John's friend is blind, so to have fun together they will",go to the movies.,go for a bike ride.,watch the sunset.,listen to music.,D
A soccer player tells that he hit a ball and kicked it ten miles away. The soccer player,was cheered by the crowd.,scored a furious goal.,lies.,drove with his car ten miles.,C
The student was not going to graduate college on time. In their next quarter they should,not go to any of their exams.,sleep throughout the day instead of studying.,take more classes.,drop out of college.,C
"If one wants to get better at squash, one should",eat squash.,look at a cook book for squash recipes.,practice with a team.,play with squash.,C
You are working with your group in the library and some students are playing loud music next to your room. You,start a fight with them.,tell them their taste in music suck.,knock on their door and tell them to lower the volume.,consider quitting school.,C
"Lots of students are waiting outside the classroom, because",the door is closed.,the teacher asks them to do so.,nobody knows what happens.,they are happy.,A
Jenny is a famous clothing designer and model. She,is an expert in her field.,is not beautiful.,is an assistant to famous clothing designers and models.,has bad body image.,A
Tina is playing in the yard with friends . Tina is,having dinner.,watching TV.,playing the piano.,playing soccer.,D
A chemistry lab technician is doctoring some test results. He,passes the test with an A+.,tests the uranium for viruses.,successfully saves the patient's life.,is caught by his supervisor and fired.,D
The dog excitedly jumped out of the car window as they pulled up to the dog field. The dog,likes being a dog.,owns the field.,then sprinted towards his friend.,hates the field.,C
The firefighters finally put out the fire. They,went home and slept.,took off into orbit.,threw a birthday party.,started another fire.,A
Elizabeth harvested tomatoes from her garden. Elizabeth,started a conversation with the tomatoes she harvested.,ran away from the garden in fear because she was terrified of the tomatoes she harvested from her garden.,punched her friend who was also in the garden in the face while grasping the tomato she just harvested.,ate the tomatoes.,D
A man is running across a street. The man,The man is looking at the traffic light.,The man is chasing his dog.,The man is sleeping on the ground.,The man is sitting in a restaurant.,B
John is a good student but Jack is not a good student. Jack,studies with fervor.,never goes to class.,aces all his exams.,studies hard.,B
IBM Watson won Jeopardy. It,must be built by magic elves.,must be magic.,must be intelligent.,must be heavy.,C
"When I am really cold, I",will go study,will take off some layers to stay cool,will make hot chocolate to warm up,like to have a cold drink with ice since it will make me more cold,C
A football game is in progress. A football player,kicks the ball to practice,passes the ball to a teammate,walked off the field,practices on the field,B
The waitress at a diner opens her laptop. She,eats an apple.,wears a hat.,checks her email.,serves a burger.,C
They came in from the rainy weather and started a fire in the fireplace to,combat the cold they were feeling.,melt the ice on their house.,warm up the neighbors who were away.,warm up the walls and wood in the fireplace.,A
Susie yelled at Jon in front of her house. Susie,apologized to her house.,forgot that Jon was in California.,thanked him for bringing her flowers.,was mad at him for forgetting their anniversary.,D
The steak was burnt. The chef,threw the steak away and started over.,ate the steak.,added some salt and pepper.,kept cooking it for another hour.,A
A person begins hormone treatments. They,like the idea of communism but isn't sure it will work in practice.,considers patent leather a sin.,begin to grow facial hair.,want to go to school for criminal justice.,C
JD is at a restaurant. JD,asks for a cup of uranium,puts his napkin on his nap,fills his backpack with sword,orders the rock,B
A cat died in a car crash. His owner,felt sad for himself.,was angry at the perpetrators.,celebrated for the cat.,cried for the dog.,B
I am a dog. I like to,lie on roof,smell bars of soap,eat brains,lick my owner,D
I forgot to turn in my library book. I,read the book again.,pay the fee.,write in the pages of the book.,go to the library and place it on my friend's head.,B
My sister cheated on her man. She,ate some pork,got a bad grade,is not loyal,bought a dog,C
I drink too much alcohol. I,am in the fourth grade.,am in the 4th grade.,have a crush on a bartender.,might be an alcoholic.,D
The mother had finished tucking her son into bed. The mother,shut the door with a loud slam.,shouted as she began to leave the room.,quietly left the room.,left the bed side to turn the lights on.,C
Joe said that the test was easy. This caused Bob to,run away in confusion.,study for other things instead.,instantly die.,think about his marriage.,B
It has been very cloudy lately. Ellie,is going to take out the clouds so it's sunny.,thinks it will rain soon.,needs her sunglasses.,is going to put the sun in the sky.,B
A Tsunami struck a country. That country was probably not,land locked.,costal.,low lying.,prone to earthquakes.,A
Dan is a bear. Dan,likes honey,has a dog,is a dog,kills space oranges,A
The girl rides the horse as fast as she can. She,puts on her blinker and merges onto the freeway.,"pets her dog every hour, religiously.",has to reach her parents' house by midnight.,plays catch with her friend.,C
John was a good student. John,played hard.,studied hard.,never goes to class.,likes to play video games.,B
A dog wags his tail. He is,dog dog dog.,barking like a human.,a very happy dog.,a dog who speaks although this dog has more dog features than most dogs.,C
Mr. Brown invited me to join a party. Mr. Brown,could play basketball very well.,don't know what to do.,is willing to play the piano.,would leave in a few days.,D
A man walks inside a mall. He decides to,run around naked,play mahjong,drink with his friends,buy new clothes,D
I hate all cats except my cat. I,hate playing with my cat.,don't know anything.,love playing with my lion.,love playing with my cat.,D
A janitor is sweeping with his broom. He,picks up litter with his telekinetic powers and then flies away on his broom.,"cleans up a spill, gets angry at Mr Clean, and destroys his broom.","empties the trash, destroys a car, and then puts away his broom.",is heading towards the office.,D
Anne turned 13. She wore a beautiful dress and was surrounded by her friends and family. She ate a,"carrot cake,",birthday cake.,wedding cake.,hot dog.,B
Steve said the test was easy. This caused Larry to,get a haircut.,study less.,kiss Steve.,eat the test.,B
